keys,es,en,pt,es_CL,fr,de,ru,it
start_msg,Iniciar juego,Start Game,Iniciar jogo,Inicia la wea,Commencer le jeu,Spiel starten,Начать игру,Inizia il gioco
config_menu,Configuracion,Configuration,Configuração,Ajustes po weon,Configuration,Einstellungen,Настройки,Configurazione
archiv_menu,Logros,Achievements,Conquistas,Weas ganadas,Réalisations,Erfolge,Достижения,Risultati
credits_menu,Creditos,Credits,Créditos,Quienes hicieron esta wea,Crédits,Credits,Кредиты,Crediti
music_menu,Musica,Music,Música,La wea pa' escuchar,Musique,Musik,Музыка,Musica
custom_conf_menu,Personalizar,Customize,Personalizar,Cambiar fondo a la wea,Personnaliser,Anpassen,Настроить,Personalizzare
exit_menu,Salir,Exit,Sair,Chao pescao,Quitter,Beenden,Выход,Uscire
res_options,Resolucion,Resolution,Resolução,Como se ve la wea,Résolution,Auflösung,Разрешение,Risoluzione
asprtio_options,Relacion de aspecto,Aspect Ratio,Proporção,El ratio de la wea,Format d'image,Seitenverhältnis,Соотношение сторон,Proporzioni
fullscreen_option,Pantalla Completa,Fullscreen,Tela Cheia,Pantalla Completa,Plein Écran,Vollbild,Полный Экран,Schermo Intero
volume_options,Opciones de Volumen,Volume Options,Opções de Volume,Opciones de Volumen,Options de Volume,Lautstärke-Optionen,Настройки Громкости,Opzioni Volume
music_options,Volumen de la Música,Music Volume,Volume da Música,Volumen de la Música,Volume de la Musique,Musik-Lautstärke,Громкость Музыки,Volume Musica
sfx_options,Volumen de Efectos de Sonido,Sound Effects Volume,Volume dos Efeitos Sonoros,Volumen de Efectos de Sonido,Volume des Effets Sonores,Effekt-Lautstärke,Громкость Звуковых Эффектов,Volume Effetti Sonori
voice_options,Volumen de la Voz,Voice Volume,Volume da Voz,Volumen de la Voz,Volume de la Voix,Stimmenlautstärke,Громкость Голоса,Volume Voce
reset_save,Reiniciar Progreso,Reset Progress,Reiniciar Progresso,Reiniciar Progreso,Redémarrer la progression,Fortschritt zurücksetzen,Сбросить прогресс,Ripristina il progresso
archiv_date_unlock,Obtenido el:,Unlocked on:,Obtido em:,Obtenido el:,Débloqué le:,Freigeschaltet am:,Разблокировано:,Sbloccato il:
unlocked_archiv,Logro desbloqueado,Achievement unlocked,Conquista desbloqueada,¡Logro desbloqueado,Succès débloqué,Erfolg freigeschaltet,Достижение разблокировано,Obiettivo sbloccato!
calc_window,Calculadora,Calculator,Calculadora,La wea pa' calcular,Calculatrice,Taschenrechner,Калькулятор,Calcolatrice
exit_mesage, ¿Salir del juego?,Exit the game?,Sair do jogo?,¿Salir de la wea?,Quitter le jeu ?,Spiel beenden?,Выход из игры?,Uscire dal gioco?
reset_message,¿Estas seguro que quieres reiniciar tu progreso?,Are you sure you want to reset your progress?,Você tem certeza que deseja reiniciar seu progresso?,¿Estás seguro que querís reiniciar la wea?,Es-tu sûr de vouloir réinitialiser ta progression ?,"Bist du sicher, dass du deinen Fortschritt zurücksetzen möchtest?","Вы уверены, что хотите сбросить свой прогресс?",Sei sicuro di voler ripristinare i tuoi progressi?
credits_sumiko_art,Arte de Sumiko,Sumiko's Art,Arte de Sumiko,El arte de la Sumiko,L'Art de Sumiko,Sumikos Kunst,Изобразительное искусство от Сумико,Arte di Sumiko
credits_sumiko_voice,Voz de Sumiko,Sumiko's Voice,Voz de Sumiko,La voz de la Sumiko,La Voix de Sumiko,Sumikos Stimme,Голос Сумико,Voce di Sumiko
credits_music,Música,Music,Música,Músicaza,L'Écoute,Musik,Музыка,Musica
credits_covers,Portadas,Covers,Capas,Portadas bacanes,Les Couvertures,Cover,Обложки,Copertine
credits_sounds,Sonidos,Sounds,Sons,Sonidos piolas,Les Sons,Töne,Звуки,Suoni
credits_images,Imágenes,Images,Imagens,Imágenes bacanes,Les Images,Bilder,Изображения,Immagini
credits_fonts,Fuentes,Fonts,Fontes,Tipografías flaitecitas,Les Polices,Schriftarten,Шрифты,Fonti
